,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2013_11,-0.025037017,0.02454236,0.078339959,0.019855582,-0.014856725,0.00271944,0.00777398,0.028809233,0.184234111,-0.120924583
2013_12,-0.027222128,-0.007137027,-0.024058741,0.003555045,0.040648035,-0.008209101,0.113574586,0.024643872,0.01213426,0.010247249
2014_1,0.070380095,-0.00761079,-0.022354266,-0.065255661,0.040351982,-0.003902325,-0.074027453,0.008851449,0.014447654,-0.337229105
2014_2,0.013631034,-0.055723067,-0.000506627,0.079614289,0.031646537,0.023997754,0.12267764,0.046344351,0.068778391,0.194606635
2014_3,0.05707709,0.140517954,0.071952408,-0.002512767,0.072990872,-0.002395848,-0.045742208,0.020934452,0.009513703,-0.079816676
2014_4,-0.023377041,-0.031101991,0.010001837,0.019646177,-0.008681336,-0.038743634,0.04746499,-0.052225962,-0.012922984,0.392638023
2014_5,-0.015420069,0.006094065,0.015098726,-0.067896647,-0.015589114,0.000402854,0.009973672,0.03321628,-0.020281662,-0.225562783
2014_6,-0.003622428,0.049168543,-0.038979211,0.055260836,-0.016689889,0.022727662,-0.014764633,-0.017728749,-0.020369008,0.432953933
2014_7,-0.017741977,0.024278066,0.037903432,-0.015491359,-0.023081213,-0.041899783,-0.030782307,-0.037186193,0.107906446,-0.63081158
2014_8,0.03251943,0.071444655,0.029700393,0.015678738,0.012950782,0.027567413,0.047211951,-0.206501149,0.028441356,-0.632691004
2014_9,-0.021938754,-0.042835833,-0.032983242,0.014166291,-0.006110916,-0.043988837,-0.053210902,0.174606812,-0.025726618,-0.164311483
2014_10,-0.026948926,0.025650828,-0.029433875,-0.02621918,-0.039064452,-0.025300754,-0.036747098,-0.017729548,0.039235906,0.113924335
2014_11,-0.036886048,-0.011262362,0.010791589,-0.045426901,0.013261669,0.018018531,0.021255132,0.018965846,0.002717481,0.152393445
2014_12,-0.049704143,-0.062369664,-0.021548317,-0.074449773,-0.043026702,-0.049959259,-0.094901446,-0.064663322,-0.063958431,0.102665216
2015_1,0.043691729,0.116850504,-0.022298041,0.022762993,0.014260428,0.021724571,0.032705361,-0.037178622,0.005771952,-1.09787945
2015_2,0.03546818,0.022068168,0.050524697,0.040922468,0.061993603,0.053326711,0.073891799,0.095577152,0.067308566,0.529027607
2015_3,0.055163158,0.011657064,0.021291288,0.065875812,0.016804582,0.071216042,0.051484958,0.003538633,0.009153719,-0.340836388
2015_4,0.015588026,0.025812849,0.009146586,0.009935181,-0.016592877,0.002799831,0.001452083,0.013952945,-0.025625406,0.154088773
2015_5,-0.002323288,0.015865067,0.001651346,-0.003733232,-0.0170151,0.009261911,0.026286195,0.013126682,0.121140367,0.000922411
2015_6,-0.009471734,-0.016808769,-0.012891034,-0.001117072,-0.006479253,-0.036588847,-0.043588641,-0.022821907,-0.03671643,-0.606194227
2015_7,0.068544501,0.042554919,0.029898236,0.012063621,0.031947246,0.007386962,0.034070313,0.020800189,0.029553029,0.253142617
2015_8,-0.013049249,0.009702956,-0.025175465,-0.011268531,-0.016065397,-0.005624913,-0.029250027,0.016335981,-0.021818378,0.227171424
2015_9,-0.034940133,0.003528478,-0.026691598,-0.029543553,-0.030421979,0.001972747,-0.025487152,-0.025417803,-0.04914583,-0.531199371
2015_10,0.005288265,-0.002137965,0.079701608,0.012166628,0.00812033,0.015850731,0.01790549,0.039523331,-0.023036385,0.461072212
2015_11,0.04689233,0.035985481,-0.01226857,-0.006961904,-0.029927007,0.01909549,0.009103157,-0.007867783,-0.005975987,-0.027992906
