Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,TA125,return,,,,,,,,,,,,,,,,,
01-12-13,-0.015400558,-0.019872701,0.011542401,-0.013089825,-0.006377443,-0.007370591,0.022358691,0.00457843,-0.065910648,0.147440049,-0.008798293,0.008759702,0.991240298,,,,,,0.984717424,0.98032346,1.011609272,0.986995474,0.993642849,0.992656505,1.022610519,1.004588927,0.936214513,1.158863807,0.991240298
01-01-14,-0.013541856,-0.009667204,-0.007465613,-0.006267561,-0.009105755,-0.016590423,0.0003104,-0.002088989,0.043832133,-0.566650513,0.100408253,0.008719673,1.105622199,,,,,,0.986549422,0.990379373,0.992562185,0.993752039,0.990935577,0.98354644,1.000310448,0.997913191,1.044806951,0.567422835,1.105622199
01-02-14,0.001948387,0.024058488,0.038067119,0.017436942,0.023443386,0.030854449,0.028349973,0.043304664,-0.079327414,0.391960283,0.002822256,0.009214268,1.002826242,,,,,,1.001950286,1.024350228,1.038800954,1.017589853,1.023720343,1.031335381,1.028755658,1.044255994,0.923737431,1.479878934,1.002826242
01-03-14,0.005103285,0.023503007,0.000799845,0.020686514,0.03808061,-0.002289539,0.069850869,0.024099769,0.054280097,-0.072002638,0.048686872,0.008972893,1.049891549,,,,,,1.005116329,1.023781379,1.000800165,1.020901963,1.038814969,0.99771308,1.072348249,1.024392515,1.055780281,0.930528441,1.049891549
01-04-14,-0.008653776,-0.012899782,-0.022836492,-0.013999198,-0.025204357,-0.018498263,-0.019845878,-0.031032333,-0.072432857,0.610382597,-0.025348114,0.006649553,0.974970452,,,,,,0.99138356,0.987183063,0.977422287,0.986098335,0.975110621,0.981671779,0.980349756,0.969444228,0.930128196,1.841135677,0.974970452
01-05-14,-0.009331303,-0.000630034,0.002569053,-0.007213314,-0.008775849,-0.012714112,-0.001509122,-0.019699257,-0.035707072,-0.330839611,-0.002647162,0.007016695,0.997356339,,,,,,0.990712098,0.999370164,1.002572356,0.99281264,0.991262547,0.987366371,0.998492016,0.980493506,0.964922905,0.71832037,0.997356339
01-06-14,-0.000961497,-0.028341105,-0.028665579,-0.043258055,-0.046356255,0.020497853,0.01014463,-0.023756195,-0.032460871,0.730860287,-0.006331252,0.006311252,0.993688748,,,,,,0.999038965,0.972056736,0.971741381,0.957664228,0.954701784,1.020709377,1.010196261,0.976523762,0.968060328,2.07686654,0.993688748
01-07-14,-0.031995529,-0.014544511,-0.007493443,-0.031513405,-0.027555926,-0.032299711,-0.077629698,-0.033835728,-0.005117951,-0.377363328,-0.018528655,0.006393389,0.981641945,,,,,,0.968510913,0.98556075,0.992534563,0.968977968,0.972820275,0.968216354,0.925307006,0.966730298,0.994895124,0.685666907,0.981641945
01-08-14,0.034645103,0.024049448,0.020383268,0.025303249,0.018681473,0.024723838,0.00568108,0.012203738,0.003234356,-0.920259877,-0.014097415,0.006541597,0.986001488,,,,,,1.035252236,1.024340968,1.020592425,1.025626094,1.018857064,1.025032007,1.005697248,1.012278507,1.003239592,0.398415489,0.986001488
01-09-14,0.003713718,-0.016518917,-0.016373034,-0.020426756,-0.023357414,-0.01112355,-0.025536941,-0.064648593,-0.104122234,0.156745932,-0.009157279,0.00428402,0.990884521,,,,,,1.003720622,0.983616772,0.983760275,0.979780457,0.976913259,0.988938088,0.974786368,0.937396813,0.901115144,1.169698393,0.990884521
